itemID,item,item_type,category,choices,uni_lemma,definition English,definition,gloss,complexity_category,scoring_category
item_32,choo_choo,word,sounds,understands; produces,choo choo,choo choo,צ'יק צ'יק צ'אק,choo choo,,
item_33,cockadoodledoo,word,sounds,understands; produces,cockadoodledoo,cockadoodledoo,קוקוקריקו,cockadoodledoo,,
item_34,meow,word,sounds,understands; produces,meow,meow,מיאו,meow,,
item_35,moo,word,sounds,understands; produces,moo,moo,מו,moo,,
item_36,ouch,word,sounds,understands; produces,ouch,ouch,אוי/ איה,ouch,,
item_37,quack_quack,word,sounds,understands; produces,quack quack,quack quack,גע גע,quack quack,,
item_38,vroom,word,sounds,understands; produces,vroom,vroom,וון וון/ הנ/ ברר,vroom,,
item_39,woof_woof,word,sounds,understands; produces,woof woof,woof woof,האו/ הב הב,woof woof,,
item_40,yum_yum,word,sounds,understands; produces,yum yum,yum yum,הם/ מ מ....מ,yum yum,,
item_41,hee_aa,word,sounds,understands; produces,hee aa,hee aa,אי-אה,hee aa,,
item_42,hopa,word,sounds,understands; produces,hopa,hopa,הופה,hopa,,
item_43,tzif_tzif,word,sounds,understands; produces,tzif tzif,tzif tzif,ציף ציף,tzif tzif,,
item_44,shhhh,word,sounds,understands; produces,shhhh,shhhh,שש...ש,shhhh,,
item_45,animal,word,animals,understands; produces,animal,animal,חיה,animal,,
item_46,bear,word,animals,understands; produces,bear,bear,דב/ דובי,bear,,
item_47,bee,word,animals,understands; produces,bee,bee,דבורה,bee,,
item_48,bird,word,animals,understands; produces,bird,bird,ציפור,bird,,
item_49,bug,word,animals,understands; produces,bug,bug,ג'וק/ תיקן,bug,,
item_50,bunny,word,animals,understands; produces,bunny,bunny,שפן/ ארנבת,bunny,,
item_51,butterfly,word,animals,understands; produces,butterfly,butterfly,פרפר,butterfly,,
item_52,cat,word,animals,understands; produces,cat,cat,חתול,cat,,
item_53,chicken.animal,word,animals,understands; produces,chicken (animal),chicken (animal),תרנגול,chicken (animal),,
item_54,cow,word,animals,understands; produces,cow,cow,פרה,cow,,
item_55,deer,word,animals,understands; produces,deer,deer,אייל/ צבי/ במבי,deer,,
item_56,dog,word,animals,understands; produces,dog,dog,כלב,dog,,
item_57,donkey,word,animals,understands; produces,donkey,donkey,חמור,donkey,,
item_58,duck,word,animals,understands; produces,duck,duck,ברווז,duck,,
item_59,elephant,word,animals,understands; produces,elephant,elephant,פיל,elephant,,
item_60,fish.animal,word,animals,understands; produces,fish (animal),fish (animal),דג,fish (animal),,
item_61,frog,word,animals,understands; produces,frog,frog,צפרדע,frog,,
item_62,giraffe,word,animals,understands; produces,giraffe,giraffe,ג'ירפה,giraffe,,
item_63,horse,word,animals,understands; produces,horse,horse,סוס,horse,,
item_64,lamb,word,animals,understands; produces,lamb,lamb,טלה,lamb,,
item_65,lion,word,animals,understands; produces,lion,lion,אריה,lion,,
item_66,monkey,word,animals,understands; produces,monkey,monkey,קוף,monkey,,
item_67,mouse,word,animals,understands; produces,mouse,mouse,עכבר,mouse,,
item_68,owl,word,animals,understands; produces,owl,owl,ינשוף,owl,,
item_69,penguin,word,animals,understands; produces,penguin,penguin,פינגווין,penguin,,
item_70,sheep,word,animals,understands; produces,sheep,sheep,כבשה,sheep,,
item_71,squirrel,word,animals,understands; produces,squirrel,squirrel,סנאי,squirrel,,
item_72,tiger,word,animals,understands; produces,tiger,tiger,נמר,tiger,,
item_73,turtle,word,animals,understands; produces,turtle,turtle,צב,turtle,,
item_74,chick,word,animals,understands; produces,,chick,אפרוח,chick,,
item_75,cub,word,animals,understands; produces,,cub,גור,cub,,
item_76,wolf,word,animals,understands; produces,,wolf,זאב,wolf,,
item_77,fly,word,animals,understands; produces,,fly,זבוב,fly,,
item_78,beetle,word,animals,understands; produces,,beetle,חיפושית,beetle,,
item_79,peacock,word,animals,understands; produces,,peacock,טווס,peacock,,
item_80,snake,word,animals,understands; produces,,snake,נחש,snake,,
item_81,hedgehog,word,animals,understands; produces,,hedgehog,קיפוד,hedgehog,,
item_82,parrot,word,animals,understands; produces,,parrot,תוכי,parrot,,
item_83,airplane,word,vehicles,understands; produces,airplane,airplane,מטוס/ אווירון,airplane,,
item_84,bicycle,word,vehicles,understands; produces,bicycle,bicycle,אופניים,bicycle,,
item_85,bus,word,vehicles,understands; produces,bus,bus,אוטובוס,bus,,
item_86,car,word,vehicles,understands; produces,car,car,אוטו/ מכונית,car,,
item_87,motorcycle,word,vehicles,understands; produces,motorcycle,motorcycle,אופנוע,motorcycle,,
item_88,stroller,word,vehicles,understands; produces,stroller,stroller,עגלה,stroller,,
item_89,train,word,vehicles,understands; produces,train,train,רכבת,train,,
item_90,truck,word,vehicles,understands; produces,truck,truck,משאית,truck,,
item_91,ambulance,word,vehicles,understands; produces,ambulance,ambulance,אמבולנס,ambulance,,
item_92,jeep,word,vehicles,understands; produces,jeep,jeep,ג'יפ,jeep,,
item_93,tractor,word,vehicles,understands; produces,tractor,tractor,טרקטור,tractor,,
item_94,engine,word,vehicles,understands; produces,engine,engine,קטר,engine,,
item_95,ball,word,toys,understands; produces,ball,ball,כדור,ball,,
item_96,balloon,word,toys,understands; produces,balloon,balloon,בלון,balloon,,
item_97,block,word,toys,understands; produces,block,block,קוביה,block,,
item_98,book,word,toys,understands; produces,book,book,ספר,book,,
item_99,bubbles,word,toys,understands; produces,bubbles,bubbles,בועות,bubbles,,
item_100,doll,word,toys,understands; produces,doll,doll,בובה,doll,,
item_101,pen,word,toys,understands; produces,pen,pen,עט,pen,,
item_102,toy,word,toys,understands; produces,toy,toy,צעצוע,toy,,
item_103,beads,word,toys,understands; produces,beads,beads,חרוזים,beads,,
item_104,clown,word,toys,understands; produces,clown,clown,ליצן,clown,,
item_105,tower,word,toys,understands; produces,tower,tower,מגדל,tower,,
item_106,dreidel,word,toys,understands; produces,dreidel,dreidel,סביבון,dreidel,,
item_107,rattle,word,toys,understands; produces,rattle,rattle,רעשן/ קשקשן,rattle,,
item_108,apple,word,food_drink,understands; produces,apple,apple,תפוח,apple,,
item_109,banana,word,food_drink,understands; produces,banana,banana,בננה,banana,,
item_110,bread,word,food_drink,understands; produces,bread,bread,לחם,bread,,
item_111,butter,word,food_drink,understands; produces,butter,butter,מרגרינה/ חמאה,butter,,
item_112,cake,word,food_drink,understands; produces,cake,cake,עוגה/ עוגיה,cake,,
item_113,candy,word,food_drink,understands; produces,candy,candy,ממתק,candy,,
item_114,carrots,word,food_drink,understands; produces,carrots,carrots,גזר,carrots,,
item_115,cheese,word,food_drink,understands; produces,cheese,cheese,גבינה,cheese,,
item_116,chicken.food,word,food_drink,understands; produces,chicken (food),chicken (food),עוף,chicken (food),,
item_117,coffee,word,food_drink,understands; produces,coffee,coffee,קפה,coffee,,
item_118,cookie,word,food_drink,understands; produces,cookie,cookie,עוגיה,cookie,,
item_119,cracker,word,food_drink,understands; produces,cracker,cracker,קרקר,cracker,,
item_120,egg,word,food_drink,understands; produces,egg,egg,חביתה/ ביצה,egg,,
item_121,fish.food,word,food_drink,understands; produces,fish (food),fish (food),דג,fish (food),,
item_122,food,word,food_drink,understands; produces,food,food,אוכל,food,,
item_123,ice_cream,word,food_drink,understands; produces,ice cream,ice cream,ארטיק/ גלידה,ice cream,,
item_124,juice,word,food_drink,understands; produces,juice,juice,מיץ,juice,,
item_125,meat,word,food_drink,understands; produces,meat,meat,בשר,meat,,
item_126,milk,word,food_drink,understands; produces,milk,milk,חלב,milk,,
item_127,noodles,word,food_drink,understands; produces,noodles,noodles,ספגטי/ אטריות/ פסטה,noodles,,
item_128,orange,word,food_drink,understands; produces,orange (food),orange (food),תפוז,orange (food),,
item_129,peas,word,food_drink,understands; produces,peas,peas,אפונה,peas,,
item_130,pizza,word,food_drink,understands; produces,pizza,pizza,פיצה,pizza,,
item_131,raisin,word,food_drink,understands; produces,raisin,raisin,צימוקים,raisin,,
item_132,toast,word,food_drink,understands; produces,toast,toast,טוסט,toast,,
item_133,water.beverage,word,food_drink,understands; produces,water (beverage),water (beverage),מים,water (beverage),,
item_134,watermelon,word,food_drink,understands; produces,watermelon,watermelon,אבטיח ,watermelon,,
item_135,pear,word,food_drink,understands; produces,pear,pear,אגס,pear,,
item_136,Rice,word,food_drink,understands; produces,Rice,Rice,אורז,Rice,,
item_137,peach,word,food_drink,understands; produces,peach,peach,אפרסק,peach,,
item_138,bamba,word,food_drink,understands; produces,bamba,bamba,במבה,bamba,,
item_139,honey,word,food_drink,understands; produces,honey,honey,דבש,honey,,
item_140,porridge,word,food_drink,understands; produces,porridge,porridge,דייסה,porridge,,
item_141,wafer,word,food_drink,understands; produces,wafer,wafer,ופלה,wafer,,
item_142,tehina,word,food_drink,understands; produces,tehina,tehina,טחינה,tehina,,
item_143,bun,word,food_drink,understands; produces,bun,bun,לחמניה,bun,,
item_144,cucumber,word,food_drink,understands; produces,cucumber,cucumber,מלפפון,cucumber,,
item_145,sausage,word,food_drink,understands; produces,sausage,sausage,נקניק,sausage,,
item_146,tomato,word,food_drink,understands; produces,tomato,tomato,עגבניה,tomato,,
item_147,pita,word,food_drink,understands; produces,pita,pita,פיתה,pita,,
item_148,pepper,word,food_drink,understands; produces,pepper,pepper,פילפל,pepper,,
item_149,flakes,word,food_drink,understands; produces,flakes,flakes,פתיתים,flakes,,
item_150,clementine,word,food_drink,understands; produces,clementine,clementine,קלמנטינה,clementine,,
item_151,meat_ball,word,food_drink,understands; produces,meat ball,meat ball,קציצה,meat ball,,
item_152,jam,word,food_drink,understands; produces,jam,jam,ריבה,jam,,
item_153,chocolate_milk,word,food_drink,understands; produces,chocolate milk,chocolate milk,שוקו,chocolate milk,,
item_154,schnitzel,word,food_drink,understands; produces,schnitzel,schnitzel,שניצל,schnitzel,,
item_155,tea,word,food_drink,understands; produces,tea,tea,תה,tea,,
item_156,bib,word,clothing,understands; produces,bib,bib,סינר,bib,,
item_157,boots,word,clothing,understands; produces,boots,boots,מגפיים,boots,,
item_158,button,word,clothing,understands; produces,button,button,כפתור,button,,
item_159,coat,word,clothing,understands; produces,coat,coat,מעיל,coat,,
item_160,diaper,word,clothing,understands; produces,diaper,diaper,טיטול/ חיתול,diaper,,
item_161,dress,word,clothing,understands; produces,dress,dress,שמלה,dress,,
item_162,hat,word,clothing,understands; produces,hat,hat,כובע,hat,,
item_163,jeans,word,clothing,understands; produces,jeans,jeans,ג'ינס,jeans,,
item_164,necklace,word,clothing,understands; produces,necklace,necklace,שרשרת/ מחרוזת,necklace,,
item_165,pajamas,word,clothing,understands; produces,pajamas,pajamas,פיג'מה,pajamas,,
item_166,pants,word,clothing,understands; produces,pants,pants,מכנסיים,pants,,
item_167,shirt,word,clothing,understands; produces,shirt,shirt,חולצה,shirt,,
item_168,shoe,word,clothing,understands; produces,shoe,shoe,נעל/ נעליים,shoe,,
item_169,sock,word,clothing,understands; produces,sock,sock,גרביים,sock,,
item_170,sweater,word,clothing,understands; produces,sweater,sweater,סוודר,sweater,,
item_171,zipper,word,clothing,understands; produces,zipper,zipper,רוכסן/ ריצ'רץ,zipper,,
item_172,swimsuit,word,clothing,understands; produces,swimsuit,swimsuit,בגד ים,swimsuit,,
item_173,undershirt,word,clothing,understands; produces,undershirt,undershirt,גופיה,undershirt,,
item_174,skirt,word,clothing,understands; produces,skirt,skirt,חצאית,skirt,,
item_175,training_clothes,word,clothing,understands; produces,training clothes,training clothes,טריינינג,training clothes,,
item_176,sandals,word,clothing,understands; produces,sandals,sandals,סנדלים,sandals,,
item_177,arm,word,body_parts,understands; produces,arm,arm/ hand,יד/ ידיים,arm/ hand,,
item_178,belly_button,word,body_parts,understands; produces,belly button,belly button,פופיק/ טבור,belly button,,
item_179,cheek,word,body_parts,understands; produces,cheek,cheek,לחי/לחיים,cheek,,
item_180,ear,word,body_parts,understands; produces,ear,ear,אוזן/ אוזניים,ear,,
item_181,eye,word,body_parts,understands; produces,eye,eye,עיין/ עיניים,eye,,
item_182,face,word,body_parts,understands; produces,face,face,פנים,face,,
item_183,finger,word,body_parts,understands; produces,finger,finger,אצבעות,finger,,
item_184,hair,word,body_parts,understands; produces,hair,hair,שיער/ שערות,hair,,
item_185,head,word,body_parts,understands; produces,head,head,ראש,head,,
item_186,knee,word,body_parts,understands; produces,knee,knee,ברך/ ברכיים,knee,,
item_187,leg,word,body_parts,understands; produces,leg,leg,רגל/ רגליים,leg,,
item_188,mouth,word,body_parts,understands; produces,mouth,mouth,פה,mouth,,
item_189,nose,word,body_parts,understands; produces,nose,nose,אף,nose,,
item_190,tooth,word,body_parts,understands; produces,tooth,tooth,שן/ שיניים,tooth,,
item_191,toe,word,body_parts,understands; produces,toe,toe,אגודל/ בוהן,toe,,
item_192,tongue,word,body_parts,understands; produces,tongue,tongue,לשון,tongue,,
item_193,tummy,word,body_parts,understands; produces,tummy,tummy,בטן,tummy,,
item_194,forehead,word,body_parts,understands; produces,forehead,forehead,מצח,forehead,,
item_195, nails,word,body_parts,understands; produces, nails, nails,ציפורניים, nails,,
item_196,bathroom,word,furniture_rooms,understands; produces,bathroom,bathroom,שירותים/ בית שימוש,bathroom,,
item_197,bathtub,word,furniture_rooms,understands; produces,bathtub,bathtub,אמבטיה,bathtub,,
item_198,bed,word,furniture_rooms,understands; produces,bed,bed,מיטה,bed,,
item_199,bedroom,word,furniture_rooms,understands; produces,bedroom,bedroom,חדר שינה,bedroom,,
item_200,chair,word,furniture_rooms,understands; produces,chair,chair,כיסא,chair,,
item_201,couch,word,furniture_rooms,understands; produces,couch,couch,כורסה,couch,,
item_202,crib,word,furniture_rooms,understands; produces,crib,crib,לול,crib,,
item_203,door,word,furniture_rooms,understands; produces,door,door,דלת,door,,
item_204,drawer,word,furniture_rooms,understands; produces,drawer,drawer,מגירה,drawer,,
item_205,garage,word,furniture_rooms,understands; produces,garage,garage,חניה/ מוסך,garage,,
item_206,kitchen,word,furniture_rooms,understands; produces,kitchen,kitchen,מטבח,kitchen,,
item_207,living_room,word,furniture_rooms,understands; produces,living room,living room,סלון,living room,,
item_208,oven,word,furniture_rooms,understands; produces,oven,oven/ stove,תנור,oven/ stove,,
item_209,potty,word,furniture_rooms,understands; produces,potty,potty,ישבנון/ סיר,potty,,
item_210,refrigerator,word,furniture_rooms,understands; produces,refrigerator,refrigerator,מקרר,refrigerator,,
item_211,sink,word,furniture_rooms,understands; produces,sink,sink,כיור,sink,,
item_212,stairs,word,furniture_rooms,understands; produces,stairs,stairs,מדרגות,stairs,,
item_213,table,word,furniture_rooms,understands; produces,table,table,שולחן,table,,
item_214,tv,word,furniture_rooms,understands; produces,tv,TV,טלויזיה,TV,,
item_215,window,word,furniture_rooms,understands; produces,window,window,חלון,window,,
item_216,curtain,word,furniture_rooms,understands; produces,curtain,curtain,וילון,curtain,,
item_217,map,word,furniture_rooms,understands; produces,map,map,מפה,map,,
item_218,rug,word,furniture_rooms,understands; produces,rug,rug,שטיח,rug,,
item_219,shutter,word,furniture_rooms,understands; produces,shutter,shutter,תריס,shutter,,
item_220,blanket,word,household,understands; produces,blanket,blanket,שמיכה,blanket,,
item_221,bottle,word,household,understands; produces,bottle,bottle,בקבוק,bottle,,
item_222,bowl,word,household,understands; produces,bowl,bowl,קערה/ קערית,bowl,,
item_223,box,word,household,understands; produces,box,box,קופסה,box,,
item_224,broom,word,household,understands; produces,broom,broom,מטאטא,broom,,
item_225,brush,word,household,understands; produces,brush,brush,מברשת,brush,,
item_226,clock,word,household,understands; produces,clock,clock,שעון,clock,,
item_227,comb,word,household,understands; produces,comb (object),comb,מסרק,comb,,
item_228,cup,word,household,understands; produces,cup,cup,כוס/ ספל,cup,,
item_229,fork,word,household,understands; produces,fork,fork,מזלג,fork,,
item_230,glasses,word,household,understands; produces,glasses,glasses,משקפיים,glasses,,
item_231,hammer,word,household,understands; produces,hammer,hammer,פטיש,hammer,,
item_232,keys,word,household,understands; produces,keys,keys,מפתחות,keys,,
item_233,lamp,word,household,understands; produces,lamp,lamp,מנורה,lamp,,
item_234,light,word,household,understands; produces,light,light,אור,light,,
item_235,medicine,word,household,understands; produces,medicine,medicine,תרופה,medicine,,
item_236,money,word,household,understands; produces,money,money,כסף,money,,
item_237,paper,word,household,understands; produces,paper,paper,נייר,paper,,
item_238,picture,word,household,understands; produces,picture,picture,תמונה,picture,,
item_239,pillow,word,household,understands; produces,pillow,pillow,כרית,pillow,,
item_240,plant,word,household,understands; produces,plant,plant,צמח,plant,,
item_241,plate,word,household,understands; produces,plate,plate,צלחת,plate,,
item_242,purse,word,household,understands; produces,purse,purse,ארנק,purse,,
item_243,radio,word,household,understands; produces,radio,radio,רדיו,radio,,
item_244,scissors,word,household,understands; produces,scissors,scissors,מספריים,scissors,,
item_245,soap,word,household,understands; produces,soap,soap,סבון,soap,,
item_246,spoon,word,household,understands; produces,spoon,spoon,כף,spoon,,
item_247,telephone,word,household,understands; produces,telephone,telephone/cellphone*,טלפון,telephone/cellphone*,,
item_248,toothbrush,word,household,understands; produces,toothbrush,toothbrush,מברשת שיניים,toothbrush,,
item_249,towel,word,household,understands; produces,towel,towel,מגבת,towel,,
item_250,trash,word,household,understands; produces,trash,trash,אשפה/ זבל/ פח,trash,,
item_251,vacuum,word,household,understands; produces,vacuum,vacuum,שואב אבק,vacuum,,
item_252,teaspoon,word,household,understands; produces,teaspoon,teaspoon,כפית,teaspoon,,
item_253,pacifier,word,household,understands; produces,pacifier,pacifier,מוצץ,pacifier,,
item_254,pot,word,household,understands; produces,pot,pot,סיר,pot,,
item_255,plant,word,household,understands; produces,plant,plant,עציץ,plant,,
item_256,bag,word,household,understands; produces,bag,bag,תיק,bag,,
item_257,backyard,word,outside,understands; produces,backyard,backyard,חצר,backyard,,
item_258,beach,word,outside,understands; produces,beach,beach,ים/ חוף ים,beach,,
item_259,flower,word,outside,understands; produces,flower,flower,פרח,flower,,
item_260,garden,word,outside,understands; produces,garden,garden/ park,גינה/ פארק,garden/ park,,
item_261,home,word,outside,understands; produces,home,home,בית/ הביתה,home,,
item_262,moon,word,outside,understands; produces,moon,moon,ירח,moon,,
item_263,party,word,outside,understands; produces,party,party,מסיבה,party,,
item_264,pool,word,outside,understands; produces,pool,pool,בריכה,pool,,
item_265,rain,word,outside,understands; produces,rain,rain,גשם,rain,,
item_266,rock,word,outside,understands; produces,rock,rock,אבן,rock,,
item_267,school,word,outside,understands; produces,school,school,גן (משפחתון/ פעוטון/ מעון/ גנון),school,,
item_268,shovel,word,outside,understands; produces,shovel,shovel,את/ מעדר,shovel,,
item_269,sky,word,outside,understands; produces,sky,sky,שמיים,sky,,
item_270,slide,word,outside,understands; produces,slide (object),slide (object),מגלשה,slide (object),,
item_271,star,word,outside,understands; produces,star,star,כוכב/ כוכבים,star,,
item_272,store,word,outside,understands; produces,store,store,חנות,store,,
item_273,sun,word,outside,understands; produces,sun,sun,שמש,sun,,
item_274,swing.object,word,outside,understands; produces,swing (object),swing (object),נדנדה,swing (object),,
item_275,tree,word,outside,understands; produces,tree,tree,עץ,tree,,
item_276,work,word,outside,understands; produces,work (place),work (place),עבודה,work (place),,
item_277,zoo,word,outside,understands; produces,zoo,zoo,גן חיות,zoo,,
item_278,land,word,outside,understands; produces,land,land,אדמה,land,,
item_279,synagogue,word,outside,understands; produces,synagogue,synagogue,בית כנסת,synagogue,,
item_280,tap,word,outside,understands; produces,tap,tap,ברז,tap,,
item_281,sand,word,outside,understands; produces,sand,sand,חול,sand,,
item_282,road,word,outside,understands; produces,road,road,כביש,road,,
item_283,supermarket ,word,outside,understands; produces,supermarket ,supermarket ,סופרמרקט/ סופר/ מכולת,supermarket ,,
item_284,bus_stop,word,outside,understands; produces,bus stop,bus stop,תחנת אוטובוס,bus stop,,
item_285,aunt,word,people,understands; produces,aunt,aunt,דוד/ דודה,aunt,,
item_286,baby,word,people,understands; produces,baby,baby,תינוק/ תינוקת,baby,,
item_287,boy,word,people,understands; produces,boy,boy,ילד/ ילדה,boy,,
item_288,brother,word,people,understands; produces,brother,brother,אח/ אחות,brother,,
item_289,daddy,word,people,understands; produces,daddy,daddy*,אבא,daddy*,,
item_290,grandma,word,people,understands; produces,grandma,grandma*,סבתא,grandma*,,
item_291,grandpa,word,people,understands; produces,grandpa,grandpa*,סבא,grandpa*,,
item_292,mommy,word,people,understands; produces,mommy,mommy*,אמא,mommy*,,
item_293,child_own_name,word,people,understands; produces,child's own name,child's own name,שם הילד,child's own name,,
item_294,person,word,people,understands; produces,person,person,איש/ אישה,person,,
item_295,teacher,word,people,understands; produces,teacher,teacher,גננת,teacher,,
item_296,friend ,word,people,understands; produces,friend ,friend ,חבר/ חברה,friend ,,
item_297,neighbor,word,people,understands; produces,neighbor,neighbor,שכן/ שכנה,neighbor,,
item_298,bath,word,games_routines,understands; produces,bath,bath,לעשות אמבטיה,bath,,
item_299,bye,word,games_routines,understands; produces,bye,bye,ביי/ להתראות,bye,,
item_300,dont,word,games_routines,understands; produces,don't,don't,די/ מספיק,don't,,
item_301,hello,word,games_routines,understands; produces,hello,hello,היי/ שלום/ אהלן,hello,,
item_302,nap,word,games_routines,understands; produces,nap,nap,ללכת לישון,nap,,
item_303,nightnight,word,games_routines,understands; produces,night night,night night,לילה טוב,night night,,
item_304,no,word,games_routines,understands; produces,no,no,לא,no,,
item_305,pattycake,word,games_routines,understands; produces,pattycake,pattycake,עשר אצבעות לי יש,pattycake,,
item_306,peekaboo,word,games_routines,understands; produces,peekaboo,peekaboo,"לשחק ב""קוקו""",peekaboo,,
item_307,please,word,games_routines,understands; produces,please,please,בבקשה,please,,
item_308,thank_you,word,games_routines,understands; produces,thank you,thank you,תודה,thank you,,
item_309,wanna,word,games_routines,understands; produces,wanna,wanna/want to,אני רוצה,wanna/want to,,
item_310,yes,word,games_routines,understands; produces,yes,yes,כן,yes,,
item_311,nothing,word,games_routines,understands; produces,nothing,nothing,אין,nothing,,
item_312,allowed,word,games_routines,understands; produces,allowed,allowed,אפשר/ מותר,allowed,,
item_313,It hurts,word,games_routines,understands; produces,It hurts,It hurts,כואב לי/ כואב לך,It hurts,,
item_314,angry,word,games_routines,understands; produces,angry,angry,כועס,angry,,
item_315,go_to_eat,word,games_routines,understands; produces,go to eat,go to eat,ללכת לאכול,go to eat,,
item_316,go_for_walk,word,games_routines,understands; produces,go for a walk,go for a walk,ללכת לטייל,go for a walk,,
item_317,pretend,word,games_routines,understands; produces,pretend,pretend,לעשות כאילו,pretend,,
item_318,more,word,games_routines,understands; produces,more,more,עוד,more,,
item_319,must,word,games_routines,understands; produces,must,must,צריך,must,,
item_320,bite,word,action_words,understands; produces,bite,bite,לנשוך,bite,,
item_321,blow,word,action_words,understands; produces,blow,blow,לנשוף,blow,,
item_322,break,word,action_words,understands; produces,break,break,לשבור,break,,
item_323,bring,word,action_words,understands; produces,bring,bring,להביא,bring,,
item_324,clean.action,word,action_words,understands; produces,clean (action),clean (action),לנקות,clean (action),,
item_325,close,word,action_words,understands; produces,close,close,לסגור,close,,
item_326,cry,word,action_words,understands; produces,cry,cry,לבכות,cry,,
item_327,dance,word,action_words,understands; produces,dance,dance,לרקוד,dance,,
item_328,draw,word,action_words,understands; produces,draw,draw,לצייר,draw,,
item_329,drink.action,word,action_words,understands; produces,drink (action),drink (action),לשתות,drink (action),,
item_330,drive,word,action_words,understands; produces,drive,drive,לנהוג,drive,,
item_331,eat,word,action_words,understands; produces,eat,eat,לאכול,eat,,
item_332,fall,word,action_words,understands; produces,fall,fall,ליפול,fall,,
item_333,feed,word,action_words,understands; produces,feed,feed,להאכיל,feed,,
item_334,finish,word,action_words,understands; produces,finish,finish,לגמור,finish,,
item_335,give,word,action_words,understands; produces,give,give,לתת,give,,
item_336,go,word,action_words,understands; produces,go,go,ללכת,go,,
