"language","measure","age","words","lexical_classes"
"English","understands",13,"cracker","nouns"
"English","produces",25,"crib","nouns"
"English","understands",14,"crib","nouns"
"English","produces",23,"cry","verbs"
"English","understands",14,"cry","verbs"
"English","produces",19,"cup","nouns"
"English","understands",12,"cup","nouns"
"English","produces",28,"cute","adjectives"
"English","produces",12,"daddy*","other"
"English","understands",8,"daddy*","other"
"English","produces",22,"dance","verbs"
"English","understands",12,"dance","verbs"
"English","produces",25,"dark","adjectives"
"English","produces",28,"day","other"
"English","produces",27,"deer","nouns"
"English","produces",19,"diaper","nouns"
"English","understands",10,"diaper","nouns"
"English","produces",24,"dinner","other"
"English","understands",15,"dinner","other"
"English","produces",22,"dirty","adjectives"
"English","understands",16,"dirty","adjectives"
"English","produces",27,"dish","nouns"
"English","understands",18,"dish","nouns"
"English","produces",15,"dog","nouns"
"English","understands",10,"dog","nouns"
"English","produces",22,"doll","nouns"
"English","understands",14,"doll","nouns"
"English","produces",26,"don't","function_words, other"
"English","understands",12,"don't","other"
"English","produces",28,"donkey","nouns"
"English","produces",20,"door","nouns"
"English","understands",13,"door","nouns"
"English","produces",19,"down","function_words"
"English","understands",13,"down","function_words"
"English","produces",25,"draw","verbs"
"English","understands",18,"draw","verbs"
"English","produces",27,"drawer","nouns"
"English","understands",18,"drawer","nouns"
"English","produces",26,"dress (object)","nouns"
"English","produces",21,"drink (action)","verbs"
"English","understands",12,"drink (action)","verbs"
"English","produces",21,"drink (beverage)","nouns"
"English","understands",13,"drink (beverage)","nouns"
"English","produces",25,"drive","verbs"
"English","understands",18,"drive","verbs"
"English","produces",26,"dry (description)","adjectives"
"English","produces",17,"duck","nouns"
"English","understands",13,"duck","nouns"
"English","produces",18,"ear","nouns"
"English","understands",14,"ear","nouns"
"English","produces",19,"eat","verbs"
"English","understands",11,"eat","verbs"
"English","produces",22,"egg","nouns"
"English","understands",18,"egg","nouns"
"English","produces",22,"elephant","nouns"
"English","understands",18,"elephant","nouns"
"English","produces",26,"empty","adjectives"
"English","understands",18,"empty","adjectives"
"English","produces",18,"eye","nouns"
"English","understands",13,"eye","nouns"
"English","produces",23,"face","nouns"
"English","understands",17,"face","nouns"
"English","produces",23,"fall","verbs"
"English","understands",16,"fall","verbs"
"English","produces",26,"fast","adjectives"
"English","produces",26,"feed","verbs"
"English","understands",18,"feed","verbs"
"English","produces",30,"fine","adjectives"
"English","produces",21,"finger","nouns"
"English","understands",16,"finger","nouns"
"English","produces",28,"finish","verbs"
"English","produces",24,"firetruck","nouns"
"English","understands",18,"firetruck","nouns"
"English","produces",18,"fish (animal)","nouns"
"English","understands",15,"fish (animal)","nouns"
"English","produces",22,"fish (food)","nouns"
"English","produces",19,"flower","nouns"
"English","understands",15,"flower","nouns"
"English","produces",23,"food","nouns"
"English","understands",16,"food","nouns"
"English","produces",22,"foot","nouns"
"English","understands",13,"foot","nouns"
"English","produces",22,"fork","nouns"
"English","understands",16,"fork","nouns"
"English","produces",22,"frog","nouns"
"English","understands",17,"frog","nouns"
"English","produces",26,"garage","nouns"
"English","produces",28,"garden","nouns"
"English","produces",28,"gentle","adjectives"
"English","understands",16,"gentle","adjectives"
"English","produces",23,"get","verbs"
"English","understands",13,"get","verbs"
"English","produces",24,"giraffe","nouns"
"English","produces",23,"girl","other"
"English","produces",26,"give","verbs"
"English","understands",13,"give","verbs"
"English","produces",25,"glass","nouns"
"English","understands",18,"glass","nouns"
"English","produces",23,"glasses","nouns"
"English","understands",16,"glasses","nouns"
"English","produces",19,"go","verbs"
"English","understands",13,"go","verbs"
"English","produces",24,"good","adjectives"
"English","understands",14,"good","adjectives"
"English","produces",28,"goose","nouns"
"English","produces",18,"grandma*","other"
"English","understands",10,"grandma*","other"
"English","produces",18,"grandpa*","other"
"English","understands",13,"grandpa*","other"
"English","produces",16,"grrr","other"
"English","understands",14,"grrr","other"
"English","produces",19,"hair","nouns"
"English","understands",13,"hair","nouns"
"English","produces",26,"hammer","nouns"
"English","produces",21,"hand","nouns"
"English","understands",14,"hand","nouns"
"English","produces",24,"happy","adjectives"
"English","understands",18,"happy","adjectives"
"English","produces",28,"hard","adjectives"
"English","produces",18,"hat","nouns"
"English","understands",13,"hat","nouns"
"English","produces",21,"head","nouns"
"English","understands",15,"head","nouns"
"English","produces",18,"hello","other"
"English","understands",13,"hello","other"
"English","produces",22,"help","verbs"
"English","understands",18,"help","verbs"
"English","produces",30,"her","function_words"
"English","produces",14,"hi","other"
"English","understands",9,"hi","other"
"English","produces",26,"high chair","nouns"
"English","understands",13,"high chair","nouns"
"English","produces",24,"hit","verbs"
"English","understands",16,"hit","verbs"
"English","produces",22,"home","nouns, other"
"English","understands",15,"home","nouns"
"English","produces",21,"horse","nouns"
"English","understands",16,"horse","nouns"
"English","produces",18,"hot","adjectives"
"English","understands",14,"hot","adjectives"
"English","produces",22,"house","nouns, other"
"English","understands",18,"house","nouns"
"English","produces",30,"how","function_words"
"English","produces",22,"hug","verbs"
"English","understands",12,"hug","verbs"
"English","produces",24,"hungry","adjectives"
"English","understands",15,"hungry","adjectives"
"English","produces",26,"hurry","verbs"
"English","produces",24,"hurt","adjectives"
"English","understands",18,"hurt","adjectives"
"English","produces",24,"i","function_words"
"English","produces",22,"ice cream","nouns"
"English","understands",17,"ice cream","nouns"
"English","understands",16,"in","function_words"
"English","understands",17,"inside","function_words"
"English","produces",26,"it","function_words"
"English","produces",24,"jacket","nouns"
"English","understands",17,"jacket","nouns"
"English","produces",28,"jeans","nouns"
"English","produces",18,"juice","nouns"
"English","understands",11,"juice","nouns"
"English","produces",22,"jump","verbs"
"English","understands",17,"jump","verbs"
"English","produces",24,"keys","nouns"
"English","understands",12,"keys","nouns"
"English","produces",24,"kick","verbs"
"English","understands",17,"kick","verbs"
"English","produces",21,"kiss","verbs"
"English","understands",10,"kiss","verbs"
"English","produces",23,"kitchen","nouns"
"English","understands",14,"kitchen","nouns"
"English","produces",18,"kitty","nouns"
"English","understands",13,"kitty","nouns"
"English","produces",22,"knee","nouns"
"English","understands",18,"knee","nouns"
"English","produces",28,"lady","other"
"English","produces",26,"lamb","nouns"
"English","produces",28,"lamp","nouns"
"English","produces",28,"later","other"
"English","produces",22,"leg","nouns"
"English","understands",16,"leg","nouns"
"English","produces",20,"light","nouns"
"English","understands",16,"light","nouns"
"English","produces",23,"lion","nouns"
"English","understands",18,"lion","nouns"
"English","produces",25,"little (description)","adjectives"
"English","produces",28,"living room","nouns"
"English","understands",18,"living room","nouns"
"English","produces",24,"look","verbs"
"English","understands",13,"look","verbs"
"English","produces",23,"love","verbs"
"English","understands",15,"love","verbs"
"English","produces",24,"lunch","other"
"English","understands",16,"lunch","other"
"English","produces",26,"man","other"
"English","produces",22,"me","function_words"
"English","understands",18,"me","function_words"
"English","produces",26,"meat","nouns"
"English","produces",24,"medicine","nouns"
"English","understands",18,"medicine","nouns"
"English","produces",16,"meow","other"
"English","understands",13,"meow","other"
"English","produces",18,"milk","nouns"
"English","understands",12,"milk","nouns"
"English","produces",19,"mine","function_words"
"English","understands",17,"mine","function_words"
"English","produces",12,"mommy*","other"
"English","understands",8,"mommy*","other"
"English","produces",23,"money","nouns"
"English","understands",18,"money","nouns"
"English","produces",22,"monkey","nouns"
"English","understands",17,"monkey","nouns"
"English","produces",16,"moo","other"
"English","understands",14,"moo","other"
"English","produces",21,"moon","nouns"
"English","understands",18,"moon","nouns"
"English","produces",19,"more","function_words"
"English","understands",13,"more","function_words"
"English","produces",28,"morning","other"
"English","produces",25,"motorcycle","nouns"
"English","produces",22,"mouse","nouns"
"English","understands",18,"mouse","nouns"
"English","produces",19,"mouth","nouns"
"English","understands",13,"mouth","nouns"
"English","produces",24,"my","function_words"
"English","produces",22,"nap","other"
"English","understands",13,"nap","other"
"English","produces",26,"necklace","nouns"
"English","produces",26,"nice","adjectives"
"English","understands",18,"nice","adjectives"
"English","produces",24,"night","other"
"English","understands",18,"night","other"
"English","produces",18,"night night","other"
"English","understands",10,"night night","other"
"English","produces",15,"no","other"
"English","understands",8,"no","other"
"English","produces",22,"noodles, spaghetti","nouns"
"English","understands",16,"noodles, spaghetti","nouns"
"English","produces",18,"nose","nouns"
"English","understands",12,"nose","nouns"
"English","produces",28,"not","function_words"
"English","produces",25,"now","other"
"English","understands",18,"now","other"
"English","produces",22,"off","function_words"
"English","understands",16,"off","function_words"
"English","produces",30,"old","adjectives"
"English","produces",22,"on","function_words"
"English","understands",16,"on","function_words"
"English","produces",22,"open","verbs"
"English","understands",14,"open","verbs"
"English","produces",22,"orange (food)","nouns"
"English","understands",18,"orange (food)","nouns"
"English","produces",28,"other","function_words"
"English","produces",18,"ouch","other"
"English","understands",14,"ouch","other"
"English","produces",22,"out","function_words"
"English","understands",16,"out","function_words"
"English","produces",19,"outside","nouns, other"
"English","understands",11,"outside","nouns"
"English","produces",27,"oven","nouns"
"English","understands",18,"oven","nouns"
"English","produces",19,"owie/boo boo","nouns"
"English","understands",16,"owie/boo boo","nouns"
"English","produces",24,"owl","nouns"
"English","produces",23,"pajamas","nouns"
"English","understands",15,"pajamas","nouns"
"English","produces",22,"pants","nouns"
"English","understands",16,"pants","nouns"
"English","produces",22,"paper","nouns"
"English","understands",17,"paper","nouns"
"English","produces",22,"park","nouns, other"
"English","understands",17,"park","nouns"
"English","produces",26,"party","nouns, other"
"English","produces",26,"pattycake","other"
"English","understands",10,"pattycake","other"
"English","produces",24,"peas","nouns"
"English","understands",18,"peas","nouns"
"English","produces",19,"peekaboo","other"
"English","understands",8,"peekaboo","other"
"English","produces",23,"pen","nouns"
"English","understands",17,"pen","nouns"
"English","produces",28,"penguin","nouns"
"English","produces",26,"penny","nouns"
"English","produces",27,"people","other"
"English","produces",24,"picture","nouns"
"English","understands",17,"picture","nouns"
"English","produces",22,"pig","nouns"
"English","understands",16,"pig","nouns"
"English","produces",22,"pillow","nouns"
"English","understands",16,"pillow","nouns"
"English","produces",22,"pizza","nouns"
"English","understands",18,"pizza","nouns"
"English","produces",26,"plant","nouns"
"English","understands",18,"plant","nouns"
"English","produces",23,"plate","nouns"
"English","understands",17,"plate","nouns"
"English","produces",22,"play","verbs"
"English","understands",14,"play","verbs"
"English","produces",19,"please","other"
"English","understands",16,"please","other"
"English","produces",28,"pony","nouns"
"English","produces",24,"pool","nouns"
"English","produces",21,"potty","nouns"
"English","understands",18,"potty","nouns"
"English","produces",24,"pretty","adjectives"
"English","understands",18,"pretty","adjectives"
"English","produces",26,"pull","verbs"
"English","understands",18,"pull","verbs"
"English","produces",21,"puppy","nouns"
"English","understands",15,"puppy","nouns"
"English","produces",24,"purse","nouns"
"English","understands",18,"purse","nouns"
"English","produces",24,"push","verbs"
"English","understands",16,"push","verbs"
"English","produces",26,"put","verbs"
"English","understands",16,"put","verbs"
"English","produces",18,"quack quack","other"
"English","understands",13,"quack quack","other"
"English","produces",26,"radio","nouns"
"English","understands",18,"radio","nouns"
"English","produces",22,"rain","nouns"
"English","understands",18,"rain","nouns"
"English","produces",24,"raisin","nouns"
"English","understands",18,"raisin","nouns"
"English","produces",22,"read","verbs"
"English","understands",16,"read","verbs"
"English","produces",23,"red","adjectives"
"English","produces",26,"refrigerator","nouns"
"English","understands",15,"refrigerator","nouns"
"English","produces",23,"ride","verbs"
"English","understands",16,"ride","verbs"
"English","produces",22,"rock","nouns"
"English","understands",17,"rock","nouns"
"English","produces",27,"rocking chair","nouns"
"English","understands",18,"rocking chair","nouns"
"English","produces",22,"run","verbs"
"English","understands",17,"run","verbs"
"English","produces",28,"say","verbs"
"English","understands",16,"say","verbs"
"English","produces",26,"scared","adjectives"
"English","produces",23,"school","nouns, other"
"English","produces",25,"scissors","nouns"
"English","produces",22,"see","verbs"
"English","understands",15,"see","verbs"
"English","produces",23,"sheep","nouns"
"English","understands",18,"sheep","nouns"
"English","produces",18,"shh/shush/hush","other"
"English","understands",14,"shh/shush/hush","other"
"English","produces",22,"shirt","nouns"
"English","understands",16,"shirt","nouns"
"English","produces",16,"shoe","nouns"
"English","understands",11,"shoe","nouns"
"English","produces",25,"shorts","nouns"
"English","produces",26,"shovel","nouns"
"English","produces",28,"show","verbs"
"English","understands",16,"show","verbs"
"English","produces",26,"sick","adjectives"
"English","produces",24,"sing","verbs"
"English","understands",16,"sing","verbs"
"English","produces",25,"sink","nouns"
"English","understands",18,"sink","nouns"
"English","produces",26,"sister","other"
"English","produces",24,"sky","nouns"
"English","understands",18,"sky","nouns"
"English","produces",22,"sleep","verbs"
"English","understands",14,"sleep","verbs"
"English","produces",25,"sleepy","adjectives"
"English","understands",16,"sleepy","adjectives"
"English","produces",22,"slide (object)","nouns"
"English","understands",16,"slide (object)","nouns"
"English","produces",27,"smile","verbs"
"English","understands",18,"smile","verbs"
"English","produces",25,"snow","nouns"
"English","produces",22,"soap","nouns"
"English","understands",17,"soap","nouns"
"English","produces",22,"sock","nouns"
"English","understands",13,"sock","nouns"
"English","produces",26,"soft","adjectives"
"English","understands",18,"soft","adjectives"
"English","produces",26,"some","function_words"
"English","produces",25,"splash","verbs"
"English","understands",16,"splash","verbs"
"English","produces",19,"spoon","nouns"
"English","understands",13,"spoon","nouns"
"English","produces",25,"squirrel","nouns"
"English","produces",25,"stairs","nouns"
"English","understands",15,"stairs","nouns"
"English","produces",22,"star","nouns"
"English","understands",18,"star","nouns"
"English","produces",22,"stop","verbs"
"English","understands",14,"stop","verbs"
"English","produces",23,"store","nouns, other"
"English","understands",17,"store","nouns"
"English","produces",26,"stove","nouns"
"English","understands",18,"stove","nouns"
"English","produces",25,"stroller","nouns"
"English","understands",13,"stroller","nouns"
"English","produces",23,"sun","nouns"
"English","understands",18,"sun","nouns"
"English","produces",22,"sweater","nouns"
"English","produces",24,"swim","verbs"
"English","produces",22,"swing (action)","verbs"
"English","understands",16,"swing (action)","verbs"
"English","produces",22,"swing (object)","nouns"
"English","understands",16,"swing (object)","nouns"
"English","produces",23,"table","nouns"
"English","understands",16,"table","nouns"
"English","produces",26,"take","verbs"
"English","produces",28,"teacher","other"
"English","produces",23,"teddybear","nouns"
"English","understands",13,"teddybear","nouns"
"English","produces",21,"telephone","nouns"
"English","understands",12,"telephone","nouns"
"English","produces",18,"thank you","other"
"English","understands",13,"thank you","other"
"English","produces",24,"that","function_words"
"English","understands",18,"that","function_words"
"English","produces",26,"there","function_words"
"English","understands",18,"there","function_words"
"English","produces",26,"thirsty","adjectives"
"English","understands",16,"thirsty","adjectives"
"English","produces",25,"this","function_words"
"English","understands",18,"this","function_words"
"English","produces",24,"throw","verbs"
"English","understands",13,"throw","verbs"
"English","produces",23,"tickle","verbs"
"English","understands",16,"tickle","verbs"
"English","produces",23,"tiger","nouns"
"English","understands",18,"tiger","nouns"
"English","produces",26,"tired","adjectives"
"English","understands",16,"tired","adjectives"
"English","produces",23,"toast","nouns"
"English","understands",17,"toast","nouns"
"English","produces",30,"today","other"
"English","produces",21,"toe","nouns"
"English","understands",14,"toe","nouns"
"English","produces",30,"tomorrow","other"
"English","produces",22,"tongue","nouns"
"English","understands",16,"tongue","nouns"
"English","produces",22,"tooth","nouns"
"English","understands",16,"tooth","nouns"
"English","produces",22,"toothbrush","nouns"
"English","understands",13,"toothbrush","nouns"
"English","produces",26,"touch","verbs"
"English","understands",16,"touch","verbs"
"English","produces",23,"towel","nouns"
"English","understands",16,"towel","nouns"
"English","produces",21,"toy (object)","nouns"
"English","understands",14,"toy (object)","nouns"
"English","produces",22,"train","nouns"
"English","understands",16,"train","nouns"
"English","produces",24,"trash","nouns"
"English","understands",15,"trash","nouns"
"English","produces",20,"tree","nouns"
"English","understands",16,"tree","nouns"
"English","produces",18,"truck","nouns"
"English","understands",15,"truck","nouns"
"English","produces",22,"tummy","nouns"
"English","understands",14,"tummy","nouns"
"English","produces",26,"turkey","nouns"
"English","produces",23,"turtle","nouns"
"English","produces",22,"tv","nouns"
"English","understands",14,"tv","nouns"
"English","produces",14,"uh oh","other"
"English","understands",10,"uh oh","other"
"English","produces",25,"uncle","other"
"English","produces",27,"under","function_words"
"English","understands",18,"under","function_words"
"English","produces",18,"up","function_words"
"English","understands",13,"up","function_words"
"English","produces",25,"vacuum","nouns"
"English","understands",15,"vacuum","nouns"
"English","produces",16,"vroom","other"
"English","understands",15,"vroom","other"
"English","produces",26,"wait","other, verbs"
"English","understands",16,"wait","other"
"English","produces",22,"walk","verbs"
"English","understands",13,"walk","verbs"
"English","produces",25,"wanna/want to","function_words, other"
"English","understands",16,"wanna/want to","other"
"English","produces",23,"wash","verbs"
"English","understands",16,"wash","verbs"
"English","produces",26,"watch (action)","verbs"
"English","understands",18,"watch (action)","verbs"
"English","produces",24,"watch (object)","nouns"
"English","understands",18,"watch (object)","nouns"
"English","produces",19,"water (beverage)","nouns"
"English","understands",13,"water (beverage)","nouns"
"English","produces",19,"water (not beverage)","nouns"
"English","understands",14,"water (not beverage)","nouns"
"English","produces",22,"wet","adjectives"
"English","understands",16,"wet","adjectives"
"English","produces",23,"what","function_words"
"English","understands",18,"what","function_words"
"English","produces",26,"where","function_words"
"English","understands",16,"where","function_words"
"English","produces",27,"who","function_words"
"English","produces",28,"why","function_words"
"English","produces",25,"window","nouns"
"English","understands",14,"window","nouns"
"English","produces",27,"wipe","verbs"
"English","understands",16,"wipe","verbs"
"English","produces",16,"woof woof","other"
"English","understands",13,"woof woof","other"
"English","produces",24,"work (place)","nouns, other"
"English","understands",18,"work (place)","nouns"
"English","produces",27,"write","verbs"
"English","produces",18,"yes","other"
"English","understands",13,"yes","other"
"English","produces",24,"you","function_words"
"English","understands",18,"you","function_words"
"English","produces",28,"your","function_words"
"English","produces",22,"yucky","adjectives"
"English","understands",14,"yucky","adjectives"
"English","produces",16,"yum yum","other"
"English","understands",12,"yum yum","other"
"English","produces",24,"zipper","nouns"
"English","understands",18,"zipper","nouns"
"English","produces",26,"zoo","nouns, other"
