Code,Researcher,Created,Modified,Instrument Family,Applied
7Q33JR1WIU9XO7I,,2023-03-17 17:18:37.850127+00:00,2023-03-17 17:18:37.850145+00:00,,
CIFJCWU3PRU0ERV,,2023-03-17 17:18:38.029546+00:00,2023-03-17 17:18:38.029605+00:00,,
NZMKXLS7TX144HO,,2023-03-17 17:18:38.205520+00:00,2023-03-17 17:18:38.205559+00:00,,
1UZYLK5B4JJHMGX,,2023-03-17 17:18:38.381873+00:00,2023-03-17 17:18:38.381911+00:00,,
CRN2C5IBXRZUMUI,,2023-03-17 17:18:38.559415+00:00,2023-03-17 17:18:38.559466+00:00,,
IWWQW9YWURT857R,,2023-03-17 17:18:38.739501+00:00,2023-03-17 17:18:38.739531+00:00,,
FQ23YBP7NYGBJZN,,2023-03-17 17:18:38.917497+00:00,2023-03-17 17:18:38.917537+00:00,,
JQWK6OCVKF0BGWW,,2023-03-17 17:18:39.097924+00:00,2023-03-17 17:18:39.097942+00:00,,
86EW7KC06D5O082,,2023-03-17 17:18:39.286384+00:00,2023-03-17 17:18:39.286404+00:00,,
H7I7TK29FVDLP2A,,2023-03-17 17:18:39.466834+00:00,2023-03-17 17:18:39.466851+00:00,,
DH5MW0R4GUA4U5C,,2023-03-17 17:18:39.647690+00:00,2023-03-17 17:18:39.647709+00:00,,
SQNQHKK2XQR8QO7,,2023-03-17 17:18:39.829648+00:00,2023-03-17 17:18:39.829709+00:00,,
81SYI97NW6VME24,,2023-03-17 17:18:40.007720+00:00,2023-03-17 17:18:40.007749+00:00,,
AE69H93YUCDF8UQ,,2023-03-17 17:18:40.196864+00:00,2023-03-17 17:18:40.196943+00:00,,
HAGGVYJBEH1EYQA,,2023-03-17 17:18:40.381238+00:00,2023-03-17 17:18:40.381294+00:00,,
XGU7HO61ZPDR8QQ,,2023-03-17 17:18:40.563686+00:00,2023-03-17 17:18:40.563771+00:00,,
ZXI4DMU16P2KLDO,henry,2023-03-17 17:18:34.551086+00:00,2023-04-05 15:46:22.703060+00:00,Spanish (Mexican) Long,2023-04-05 15:46:22.702353+00:00
ZIRET2O08UX37XD,henry,2023-03-17 17:18:35.082647+00:00,2023-04-06 13:11:03.632539+00:00,English (American) CAT,2023-04-06 13:11:03.632223+00:00
