itemID,item_type,pdf_header
item_125,word,milk
item_126,word,muffin
item_127,word,noodles
item_128,word,nuts
item_129,word,orange
item_130,word,pancake
item_131,word,peanut butter
item_132,word,peas
item_133,word,pickle
item_134,word,pizza
item_135,word,popcorn
item_136,word,popsicle
item_137,word,potato chip
item_138,word,potato
item_139,word,pretzel
item_140,word,pudding
item_141,word,pumpkin
item_142,word,raisin
item_143,word,salt
item_144,word,sandwich
item_145,word,sauce
item_146,word,soda/pop
item_147,word,soup
item_148,word,spaghetti
item_149,word,strawberry
item_150,word,toast
item_151,word,tuna
item_152,word,vanilla
item_153,word,vitamins
item_154,word,water
item_155,word,yogurt
item_156,word,beads
item_157,word,belt
item_158,word,bib
item_159,word,boots
item_160,word,button
item_161,word,coat
item_162,word,diaper
item_163,word,dress
item_164,word,gloves
item_165,word,hat
item_166,word,jacket
item_167,word,jeans
item_168,word,mittens
item_169,word,necklace
item_170,word,pajamas
item_171,word,pants
item_172,word,scarf
item_173,word,shirt
item_174,word,shoe
item_175,word,shorts
item_176,word,slipper
item_177,word,sneaker
item_178,word,snowsuit
item_179,word,sock
item_180,word,sweater
item_181,word,tights
item_182,word,underpants
item_183,word,zipper
item_184,word,ankle
item_185,word,arm
item_186,word,belly button
item_187,word,buttocks/bottom
item_188,word,cheek
item_189,word,chin
item_190,word,ear
item_191,word,eye
item_192,word,face
item_193,word,finger
item_194,word,feet
item_195,word,hair
item_196,word,hand
item_197,word,head
item_198,word,knee
item_199,word,leg
item_200,word,lips
item_201,word,mouth
item_202,word,nose
item_203,word,owie/boo boo
item_204,word,penis
item_205,word,shoulder
item_206,word,toe
item_207,word,tongue
item_208,word,tooth
item_209,word,tummy
item_210,word,vagina
item_211,word,basket
item_212,word,blanket
item_213,word,bottle
item_214,word,bowl
item_215,word,box
item_216,word,broom
item_217,word,brush
item_218,word,bucket
item_219,word,camera
item_220,word,can
item_221,word,clock
item_222,word,comb
item_223,word,cup
item_224,word,dish
item_225,word,fork
item_226,word,garbage
item_227,word,glass
item_228,word,glasses
item_229,word,hammer
item_230,word,jar
item_231,word,keys
item_232,word,knife
item_233,word,lamp
item_234,word,light
item_235,word,medicine
item_236,word,money
item_237,word,mop
item_238,word,nail
item_239,word,napkin
item_240,word,paper
item_241,word,penny
item_242,word,picture
item_243,word,pillow
item_244,word,plant
item_245,word,plate
item_246,word,purse
item_247,word,radio
item_248,word,scissor
item_249,word,soap
item_250,word,spoon
item_251,word,tape
item_252,word,telephone
item_253,word,tissue/kleenex
item_254,word,toothbrush
item_255,word,towel
item_256,word,trash
item_257,word,tray
item_258,word,vacuum
item_259,word,walker
item_260,word,watch
item_261,word,basement
item_262,word,bathroom
item_263,word,bathtub
item_264,word,bed
item_265,word,bedroom
item_266,word,bench
item_267,word,chair
item_268,word,closet
item_269,word,couch
item_270,word,crib
item_271,word,door
item_272,word,drawer
item_273,word,dryer
item_274,word,garage
item_275,word,high chair
item_276,word,kitchen
item_277,word,living room
item_278,word,oven
item_279,word,play pen
item_280,word,porch
item_281,word,potty
item_282,word,refrigerator
item_283,word,rocking chair
item_284,word,room
item_285,word,shower
item_286,word,sink
item_287,word,sofa
item_288,word,stairs
item_289,word,stove
item_290,word,table
item_291,word,TV
item_292,word,washing machine
item_293,word,window
item_294,word,backyard
item_295,word,cloud
item_296,word,flag
item_297,word,flower
item_298,word,garden
item_299,word,grass
item_300,word,hose
item_301,word,ladder
item_302,word,lawn mower
item_303,word,moon
item_304,word,pool
item_305,word,rain
item_306,word,rock
item_307,word,roof
item_308,word,sandbox
item_309,word,shovel
item_310,word,sidewalk
item_311,word,sky
item_312,word,slide
item_313,word,snow
item_314,word,snowman
item_315,word,sprinkler
item_316,word,star
item_317,word,stick
item_318,word,stone
item_319,word,street
item_320,word,sun
item_321,word,swing
item_322,word,tree
item_323,word,water_2
item_324,word,wind
item_325,word,beach
item_326,word,camping
item_327,word,church
item_328,word,circus
item_329,word,country
item_330,word,downtown
item_331,word,farm
item_332,word,gas station
item_333,word,home
item_334,word,house
item_335,word,movie
item_336,word,outside
item_337,word,park
item_338,word,party
item_339,word,picnic
item_340,word,playground
item_341,word,school
item_342,word,store
item_343,word,woods
item_344,word,work
item_345,word,yard
item_346,word,zoo
item_347,word,aunt
item_348,word,baby
item_349,word,babysitter
item_350,word,babysitter's name
item_351,word,boy
item_352,word,brother
item_353,word,child
item_354,word,clown
item_355,word,cowboy
item_356,word,daddy
item_357,word,doctor
item_358,word,fireman
item_359,word,friend
item_360,word,girl
item_361,word,grandma
item_362,word,grandpa
item_363,word,lady
item_364,word,mailman
item_365,word,man
item_366,word,mommy
item_367,word,nurse
item_368,word,child's own name
item_369,word,people
item_370,word,person
item_371,word,pet's name
item_372,word,police
item_373,word,sister
item_374,word,teacher
item_375,word,uncle
item_376,word,bath
item_377,word,breakfast
item_378,word,bye
item_379,word,call
item_380,word,dinner
item_381,word,give me five!
item_382,word,gonna get you!
item_383,word,go potty
item_384,word,hello
item_385,word,hi
item_386,word,lunch
item_387,word,nap
item_388,word,night night
item_389,word,no
item_390,word,patty cake
item_391,word,peekaboo
item_392,word,please
item_393,word,shh/shush/hush
item_394,word,shopping
item_395,word,snack
item_396,word,so big!
item_397,word,thank you
item_398,word,this little piggy
item_399,word,turn around
item_400,word,yes
item_401,word,bite
item_402,word,blow
item_403,word,break
item_404,word,bring
item_405,word,build
item_406,word,bump
item_407,word,buy
item_408,word,carry
item_409,word,catch
item_410,word,chase
item_411,word,clap
item_412,word,clean
item_413,word,climb
item_414,word,close
item_415,word,cook
item_416,word,cover
item_417,word,cry
item_418,word,cut
item_419,word,dance
item_420,word,draw
item_421,word,drink_2
item_422,word,drive
item_423,word,drop
item_424,word,dry
item_425,word,dump
item_426,word,eat
item_427,word,fall
item_428,word,feed
item_429,word,find
item_430,word,finish
item_431,word,fit
item_432,word,fix
item_433,word,get
item_434,word,give
item_435,word,go
item_436,word,hate
item_437,word,have
item_438,word,hear
item_439,word,help
item_440,word,hide
item_441,word,hit
item_442,word,hold
item_443,word,hug
item_444,word,hurry
item_445,word,jump
item_446,word,kick
item_447,word,kiss
item_448,word,knock
item_449,word,lick
item_450,word,like
item_451,word,listen
item_452,word,look
item_453,word,love
item_454,word,make
item_455,word,open
item_456,word,paint
item_457,word,pick
item_458,word,play
item_459,word,pour
item_460,word,pretend
item_461,word,pull
item_462,word,push
item_463,word,put
item_464,word,read
item_465,word,ride
item_466,word,rip
item_467,word,run
item_468,word,say
item_469,word,see
item_470,word,shake
item_471,word,share
item_472,word,show
item_473,word,sing
item_474,word,sit
item_475,word,skate
item_476,word,sleep
item_477,word,slide_2
item_478,word,smile
item_479,word,spill
item_480,word,splash
item_481,word,stand
item_482,word,stay
item_483,word,stop
item_484,word,sweep
item_485,word,swim
item_486,word,swing_2
item_487,word,take
item_488,word,talk
item_489,word,taste
item_490,word,tear
item_491,word,think
item_492,word,throw
item_493,word,tickle
item_494,word,touch
item_495,word,wait
item_496,word,wake
item_497,word,walk
item_498,word,wash
item_499,word,watch_2
item_500,word,wipe
item_501,word,wish
item_502,word,work_2
item_503,word,write
item_504,word,allgone
item_505,word,asleep
item_506,word,awake
item_507,word,bad
item_508,word,better
item_509,word,big
item_510,word,black
item_511,word,blue
item_512,word,broken
item_513,word,brown
item_514,word,careful
item_515,word,clean_2
item_516,word,cold
item_517,word,cute
item_518,word,dark
item_519,word,dirty
item_520,word,dry_2
item_521,word,empty
item_522,word,fast
item_523,word,fine
item_524,word,first
item_525,word,full
item_526,word,gentle
item_527,word,good
item_528,word,green
item_529,word,happy
item_530,word,hard
item_531,word,heavy
item_532,word,high
item_533,word,hot
item_534,word,hungry
item_535,word,hurt
item_536,word,last
item_537,word,little
item_538,word,long
item_539,word,loud
item_540,word,mad
item_541,word,naughty
item_542,word,new
item_543,word,nice
item_544,word,noisy
item_545,word,old
item_546,word,orange_2
item_547,word,poor
item_548,word,pretty
item_549,word,quiet
item_550,word,red
item_551,word,sad
item_552,word,scared
item_553,word,sick
item_554,word,sleepy
item_555,word,slow
item_556,word,soft
item_557,word,sticky
item_558,word,stuck
item_559,word,thirsty
item_560,word,tiny
item_561,word,tired
item_562,word,wet
item_563,word,white
item_564,word,windy
item_565,word,yellow
item_566,word,yucky
item_567,word,after
item_568,word,before
item_569,word,day
item_570,word,later
item_571,word,morning
item_572,word,night
item_573,word,now
item_574,word,time
item_575,word,today
item_576,word,tomorrow
item_577,word,tonight
item_578,word,yesterday
item_579,word,he
item_580,word,her
item_581,word,hers
item_582,word,him
item_583,word,his
item_584,word,I
item_585,word,it
item_586,word,me
item_587,word,mine
item_588,word,my
item_589,word,myself
item_590,word,our
item_591,word,she
item_592,word,that
item_593,word,their
item_594,word,them
item_595,word,these
item_596,word,they
item_597,word,this
item_598,word,those
item_599,word,us
item_600,word,we
item_601,word,you
item_602,word,your
item_603,word,yourself
item_604,word,how
item_605,word,what
item_606,word,when
item_607,word,where
item_608,word,which
item_609,word,who
item_610,word,why
item_611,word,about
item_612,word,above
item_613,word,around
item_614,word,at
item_615,word,away
item_616,word,back
item_617,word,behind
item_618,word,beside
item_619,word,by
item_620,word,down
item_621,word,for
item_622,word,here
item_623,word,inside/in
item_624,word,into
item_625,word,next to
item_626,word,of
item_627,word,off
item_628,word,on
item_629,word,on top of
item_630,word,out
item_631,word,over
item_632,word,there
item_633,word,to
item_634,word,under
item_635,word,up
item_636,word,with
item_637,word,a
item_638,word,all
item_639,word,a lot
item_640,word,an
item_641,word,another
item_642,word,any
item_643,word,each
item_644,word,every
item_645,word,more
item_646,word,much
item_647,word,none
item_648,word,not
item_649,word,other
item_650,word,same
item_651,word,some
item_652,word,the
item_653,word,too
item_654,word,am
item_655,word,are
item_656,word,be
item_657,word,can_2
item_658,word,could
item_659,word,did/did ya
item_660,word,do
item_661,word,does
item_662,word,don't
item_663,word,gonna/going to
item_664,word,gotta/got to
item_665,word,hafta/ have to
item_666,word,is
item_667,word,lemme/let me
item_668,word,need/need to
item_669,word,try/try to
item_670,word,wanna/want to
item_671,word,was
item_672,word,were
item_673,word,will
item_674,word,would
item_675,word,and
item_676,word,because
item_677,word,but
item_678,word,if
item_679,word,so
item_680,word,then
item_681,usage,B1
item_682,usage,B2
item_683,usage,B3
item_684,usage,B4
item_685,usage,B5
item_686,ending,A1
item_687,ending,A2
item_688,ending,A3
item_689,ending,A4
item_690,word_form,children
item_691,word_form,feet_2
item_692,word_form,men
item_693,word_form,mice
item_694,word_form,teeth
item_695,word_form,ate
item_696,word_form,blew
item_697,word_form,bought
item_698,word_form,broke
item_699,word_form,came
item_700,word_form,drank
item_701,word_form,drove
item_702,word_form,fell
item_703,word_form,flew
item_704,word_form,got
item_705,word_form,had
item_706,word_form,heard
item_707,word_form,held
item_708,word_form,lost
item_709,word_form,made
item_710,word_form,ran
item_711,word_form,sat
item_712,word_form,saw
item_713,word_form,took
item_714,word_form,went
item_715,word_ending,blockses
item_716,word_ending,childrens
item_717,word_ending,childs
item_718,word_ending,feets
item_719,word_ending,foots
item_720,word_ending,mans
item_721,word_ending,mens
item_722,word_ending,mices
item_723,word_ending,mouses
item_724,word_ending,shoeses
item_725,word_ending,sockses
item_726,word_ending,teeths
item_727,word_ending,toeses
item_728,word_ending,tooths
item_729,word_ending,ated
item_730,word_ending,blewed
item_731,word_ending,blowed
item_732,word_ending,bringed
item_733,word_ending,buyed
item_734,word_ending,breaked
item_735,word_ending,broked
item_736,word_ending,camed
item_737,word_ending,comed
item_738,word_ending,doed
item_739,word_ending,dranked
item_740,word_ending,drinked
item_741,word_ending,eated
item_742,word_ending,failed
item_743,word_ending,flied
item_744,word_ending,getted
item_745,word_ending,goed
item_746,word_ending,gotted
item_747,word_ending,haved
item_748,word_ending,heared
item_749,word_ending,holded
item_750,word_ending,losed
item_751,word_ending,losted
item_752,word_ending,maked
item_753,word_ending,ranned
item_754,word_ending,runned
item_755,word_ending,seed
item_756,word_ending,satted
item_757,word_ending,sitted
item_758,word_ending,taked
item_759,word_ending,wented
item_760,combine,C1
item_example1,combination_examples,D1
item_example2,combination_examples,D2
item_example3,combination_examples,D3
item_761,complexity,E1
item_762,complexity,E2
item_763,complexity,E3
item_764,complexity,E4
item_765,complexity,E5
item_766,complexity,E6
item_767,complexity,E7
item_768,complexity,E8
item_769,complexity,E9
item_770,complexity,E10
item_771,complexity,E11
item_772,complexity,E12
item_773,complexity,E13
item_774,complexity,E14
item_775,complexity,E15
item_776,complexity,E16
item_777,complexity,E17
item_778,complexity,E18
item_779,complexity,E19
item_780,complexity,E20
item_781,complexity,E21
item_782,complexity,E22
item_783,complexity,E23
item_784,complexity,E24
item_785,complexity,E25
item_786,complexity,E26
item_787,complexity,E27
item_788,complexity,E28
item_789,complexity,E29
item_790,complexity,E30
item_791,complexity,E31
item_792,complexity,E32
item_793,complexity,E33
item_794,complexity,E34
item_795,complexity,E35
item_796,complexity,E36
item_797,complexity,E37
