itemID,item,item_type,category,choices,Definition-english,gloss,definition,complexity_category,scoring_category,enabler,enable_response
item_65,car,word,vehicles,produces,car,car,אוטו/ מכונית,,,,
item_66,helicopter,word,vehicles,produces,helicopter,helicopter,הליקופטר,,,,
item_67,motorcycle,word,vehicles,produces,motorcycle,motorcycle,אופנוע,,,,
item_68,stroller,word,vehicles,produces,stroller,stroller,עגלה,,,,
item_69,tractor,word,vehicles,produces,tractor,tractor,טרקטור,,,,
item_70,train,word,vehicles,produces,train,train,רכבת,,,,
item_71,truck,word,vehicles,produces,truck,truck,משאית,,,,
item_72,ambulance,word,vehicles,produces,ambulance,ambulance,אמבולנס,,,,
item_73,jeep,word,vehicles,produces,jeep,jeep,ג'יפ,,,,
item_74,engine,word,vehicles,produces,engine,engine,קטר,,,,
item_75,ball,word,toys,produces,ball,ball,כדור,,,,
item_76,balloon,word,toys,produces,balloon,balloon,בלון,,,,
item_77,block,word,toys,produces,block,block,קוביה,,,,
item_78,book,word,toys,produces,book,book,ספר,,,,
item_79,bubbles,word,toys,produces,bubbles,bubbles,בועות,,,,
item_80,chalk,word,toys,produces,chalk,chalk,גיר,,,,
item_81,crayon,word,toys,produces,crayon,crayon,טוש,,,,
item_82,doll,word,toys,produces,doll,doll,בובה,,,,
item_83,game,word,toys,produces,game,game,משחק,,,,
item_84,glue,word,toys,produces,glue,glue,דבק,,,,
item_85,pen,word,toys,produces,pen,pen,עט,,,,
item_86,pencil,word,toys,produces,pencil,pencil,עפרון,,,,
item_87,play_dough,word,toys,produces,play dough,play dough,בצק/ פלסטלינה,,,,
item_88,present,word,toys,produces,present,present,מתנה,,,,
item_89,puzzle,word,toys,produces,puzzle,puzzle,פאזל/ הרכבה,,,,
item_90,story,word,toys,produces,story,story,סיפור,,,,
item_91,toy,word,toys,produces,toy,toy,צעצוע,,,,
item_92,beads,word,toys,produces,beads,beads,חרוזים,,,,
item_93,clown,word,toys,produces,clown,clown,ליצן,,,,
item_94,tower,word,toys,produces,tower,tower,מגדל,,,,
item_95,dreidel,word,toys,produces,dreidel,dreidel,סביבון,,,,
item_96,rattle,word,toys,produces,rattle,rattle,רעשן/ קשקשן,,,,
item_97,apple,word,food_drink,produces,apple,apple,תפוח,,,,
item_98,banana,word,food_drink,produces,banana,banana,בננה,,,,
item_99,bread,word,food_drink,produces,bread,bread,לחם,,,,
item_100,butter,word,food_drink,produces,butter,butter,מרגרינה/ חמאה,,,,
item_101,cake,word,food_drink,produces,cake,cake,עוגה/ עוגיה,,,,
item_102,candy,word,food_drink,produces,candy,candy,ממתק,,,,
item_103,carrots,word,food_drink,produces,carrots,carrots,גזר,,,,
item_104,cheese,word,food_drink,produces,cheese,cheese,גבינה,,,,
item_105,chicken.food,word,food_drink,produces,chicken (food),chicken (food),עוף,,,,
item_106,chocolate,word,food_drink,produces,chocolate,chocolate,שוקולד,,,,
item_107,coffee,word,food_drink,produces,coffee,coffee,קפה,,,,
item_108,coke,word,food_drink,produces,coke,coke,קולה,,,,
item_109,corn,word,food_drink,produces,corn,corn,תירס,,,,
item_110,cracker,word,food_drink,produces,cracker,cracker,קרקר,,,,
item_111,egg,word,food_drink,produces,egg,egg,ביצה,,,,
item_112,fish.food,word,food_drink,produces,fish (food),fish (food),דג,,,,
item_113,food,word,food_drink,produces,food,food,אוכל,,,,
item_114,french_fries,word,food_drink,produces,french fries,french fries,צ'יפס,,,,
item_115,grapes,word,food_drink,produces,grapes,grapes,ענבים,,,,
item_116,green_beans,word,food_drink,produces,green beans,green beans,שעועית,,,,
item_117,gum,word,food_drink,produces,gum,gum,מסטיק,,,,
item_118,hamburger,word,food_drink,produces,hamburger,hamburger,קציצה,,,,
item_119,ice_cream,word,food_drink,produces,ice cream,ice cream,ארטיק/ גלידה,,,,
item_120,jelly,word,food_drink,produces,jelly,jelly,ריבה,,,,
item_121,juice,word,food_drink,produces,juice,juice,מיץ,,,,
item_122,lollipop,word,food_drink,produces,lollipop,lollipop,סוכריה,,,,
item_123,meat,word,food_drink,produces,meat,meat,בשר,,,,
item_124,melon,word,food_drink,produces,melon,melon,מלון,,,,
item_125,milk,word,food_drink,produces,milk,milk,חלב,,,,
item_126,nuts,word,food_drink,produces,nuts,nuts,אגוזים,,,,
item_127,orange.food,word,food_drink,produces,orange (food),orange (food),תפוז,,,,
item_128,peas,word,food_drink,produces,peas,peas,אפונה,,,,
item_129,pickle,word,food_drink,produces,pickle,pickle,חמוצים/ מלפפון חמוץ,,,,
item_130,pizza,word,food_drink,produces,pizza,pizza,פיצה,,,,
item_131,potato,word,food_drink,produces,potato,potato,תפוח אדמה,,,,
item_132,pretzel,word,food_drink,produces,pretzel,pretzel,בייגלה,,,,
item_133,raisin,word,food_drink,produces,raisin,raisin,צימוקים,,,,
item_134,salt,word,food_drink,produces,salt,salt,מלח,,,,
item_135,sandwich,word,food_drink,produces,sandwich,sandwich,סנדוויץ/ כריך,,,,
item_136,soup,word,food_drink,produces,soup,soup,מרק,,,,
item_137,spaghetti,word,food_drink,produces,spaghetti,spaghetti,ספגטי/ אטריות/ מקרוני,,,,
item_138,strawberry,word,food_drink,produces,strawberry,strawberry,תות,,,,
item_139,toast,word,food_drink,produces,toast,toast,טוסט,,,,
item_140,tuna,word,food_drink,produces,tuna,tuna,טונה,,,,
item_141,water.beverage,word,food_drink,produces,water (beverage),water (beverage),מים,,,,
item_142,yogurt,word,food_drink,produces,yogurt,yogurt,לבן/ יוגורט/ מעדן,,,,
item_143,watermelon,word,food_drink,produces,watermelon,watermelon,אבטיח,,,,
item_144,pear,word,food_drink,produces,pear,pear,אגס,,,,
item_145,rice,word,food_drink,produces,rice,rice,אורז,,,,
item_146,peach,word,food_drink,produces,peach,peach,אפרסק,,,,
item_147,bamba,word,food_drink,produces,bamba,bamba,במבה,,,,
item_148,honey,word,food_drink,produces,honey,honey,דבש,,,,
item_149,porridge,word,food_drink,produces,porridge,porridge,דייסה,,,,
item_150,wafer,word,food_drink,produces,wafer,wafer,ופלה,,,,
item_151,olives,word,food_drink,produces,olives,olives,זיתים,,,,
item_152,omelet,word,food_drink,produces,omelet,omelet,חביתה,,,,
item_153,tehina,word,food_drink,produces,tehina,tehina,טחינה,,,,
item_154,bun,word,food_drink,produces,bun,bun,לחמניה,,,,
item_155,cucumber,word,food_drink,produces,cucumber,cucumber,מלפפון,,,,
item_156,sausage,word,food_drink,produces,sausage,sausage,נקניק,,,,
item_157,tomato,word,food_drink,produces,tomato,tomato,עגבניה,,,,
item_158,pita,word,food_drink,produces,pita,pita,פיתה,,,,
item_159,pepper,word,food_drink,produces,pepper,pepper,פילפל,,,,
item_160,flakes,word,food_drink,produces,flakes,flakes,פתיתים,,,,
item_161,clementine,word,food_drink,produces,clementine,clementine,קלמטינה,,,,
item_162,chocolate_milk,word,food_drink,produces,chocolate milk,chocolate milk,שוקו,,,,
item_163,schnitzel,word,food_drink,produces,schnitzel,schnitzel,שניצל,,,,
item_164,tea,word,food_drink,produces,tea,tea,תה,,,,
item_165,belt,word,clothing,produces,belt,belt,חגורה,,,,
item_166,bib,word,clothing,produces,bib,bib,סינר,,,,
item_167,boots,word,clothing,produces,boots,boots,מגפיים,,,,
item_168,button,word,clothing,produces,button,button,כפתור,,,,
item_169,coat,word,clothing,produces,coat,coat,מעיל,,,,
item_170,diaper,word,clothing,produces,diaper,diaper,טיטול/ חיתול,,,,
item_171,dress,word,clothing,produces,dress,dress,שמלה,,,,
item_172,gloves,word,clothing,produces,gloves,gloves,כפפות,,,,
item_173,hat,word,clothing,produces,hat,hat,כובע,,,,
item_174,jeans,word,clothing,produces,jeans,jeans,ג'ינס,,,,
item_175,necklace,word,clothing,produces,necklace,necklace,שרשרת/ מחרוזת,,,,
item_176,pajamas,word,clothing,produces,pajamas,pajamas,פיג'מה,,,,
item_177,pants,word,clothing,produces,pants,pants,מכנסיים,,,,
item_178,scarf,word,clothing,produces,scarf,scarf,צעיף,,,,
item_179,shirt,word,clothing,produces,shirt,shirt,חולצה,,,,
item_180,shoe,word,clothing,produces,shoe,shoe,נעל/ נעליים,,,,
item_181,slipper,word,clothing,produces,slipper,slipper,נעלי בית,,,,
item_182,sneaker,word,clothing,produces,sneaker,sneaker,נעלי ספורט,,,,
item_183,sock,word,clothing,produces,sock,sock,גרביים,,,,
item_184,sweater,word,clothing,produces,sweater,sweater,סוודר,,,,
item_185,tights,word,clothing,produces,tights,tights,גרביונים/ טייטס,,,,
item_186,underpants,word,clothing,produces,underpants,underpants,תחתונים ,,,,
item_187,zipper,word,clothing,produces,zipper,zipper,רוכסן/ ריצ'רץ,,,,
item_188,swimsuit,word,clothing,produces,swimsuit,swimsuit,בגד ים,,,,
item_189,undershirt,word,clothing,produces,undershirt,undershirt,גופיה,,,,
item_190,skirt,word,clothing,produces,skirt,skirt,חצאית,,,,
item_191,training_clothes,word,clothing,produces,training clothes,training clothes,טריינינג,,,,
item_192,sandals,word,clothing,produces,sandals,sandals,סנדלים,,,,
item_193,ankle,word,body_parts,produces,ankle,ankle,קרסול,,,,
item_194,arm,word,body_parts,produces,arm,arm,יד/ ידיים,,,,
item_195,belly_button,word,body_parts,produces,belly button,belly button,פופיק/ טבור,,,,
item_196,cheek,word,body_parts,produces,cheek,cheek,לחי/לחיים,,,,
item_197,chin,word,body_parts,produces,chin,chin,סנטר,,,,
item_198,ear,word,body_parts,produces,ear,ear,אוזן/ אוזניים,,,,
item_199,eye,word,body_parts,produces,eye,eye,עיין/ עיניים,,,,
item_200,face,word,body_parts,produces,face,face,פנים,,,,
item_201,finger,word,body_parts,produces,finger,finger,אצבעות,,,,
item_202,hair,word,body_parts,produces,hair,hair,שיער/ שערות,,,,
item_203,head,word,body_parts,produces,head,head,ראש,,,,
item_204,knee,word,body_parts,produces,knee,knee,ברך/ ברכיים,,,,
item_205,leg,word,body_parts,produces,leg,leg,רגל/ רגליים,,,,
item_206,lips,word,body_parts,produces,lips,lips,שפתיים,,,,
item_207,mouth,word,body_parts,produces,mouth,mouth,פה,,,,
item_208,nose,word,body_parts,produces,nose,nose,אף,,,,
item_209,shoulder,word,body_parts,produces,shoulder,shoulder,כתף/ כתפיים,,,,
item_210,toe,word,body_parts,produces,toe,toe,אגודל/ בוהן,,,,
item_211,tongue,word,body_parts,produces,tongue,tongue,לשון,,,,
item_212,tooth,word,body_parts,produces,tooth,tooth,שן/ שיניים,,,,
item_213,tummy,word,body_parts,produces,tummy,tummy,בטן,,,,
item_214,forehead,word,body_parts,produces,forehead,forehead,מצח,,,,
item_215, nails,word,body_parts,produces, nails, nails,ציפורניים,,,,
item_216,neck,word,body_parts,produces,neck,neck,צואר,,,,
item_217,basket,word,household,produces,basket,basket,סל,,,,
item_218,blanket,word,household,produces,blanket,blanket,שמיכה,,,,
item_219,bottle,word,household,produces,bottle,bottle,בקבוק,,,,
item_220,bowl,word,household,produces,bowl,bowl,קערה/ קערית,,,,
item_221,box,word,household,produces,box,box,קופסה,,,,
item_222,broom,word,household,produces,broom,broom,מטאטא,,,,
item_223,brush,word,household,produces,brush,brush,מברשת,,,,
item_224,bucket,word,household,produces,bucket,bucket,דלי,,,,
item_225,camera,word,household,produces,camera,camera,מצלמה,,,,
item_226,clock,word,household,produces,clock,clock,שעון,,,,
item_227,comb,word,household,produces,comb,comb,מסרק,,,,
item_228,cup,word,household,produces,cup,cup,כוס/ ספל,,,,
item_229,fork,word,household,produces,fork,fork,מזלג,,,,
item_230,glasses,word,household,produces,glasses,glasses,משקפיים,,,,
item_231,hammer,word,household,produces,hammer,hammer,פטיש,,,,
item_232,keys,word,household,produces,keys,keys,מפתחות,,,,
item_233,knife,word,household,produces,knife,knife,סכין,,,,
item_234,lamp,word,household,produces,lamp,lamp,מנורה,,,,
item_235,light,word,household,produces,light,light,אור,,,,
item_236,medicine,word,household,produces,medicine,medicine,תרופה,,,,
item_237,money,word,household,produces,money,money,כסף,,,,
item_238,mop,word,household,produces,mop,mop,מגב ,,,,
item_239,nail,word,household,produces,nail,nail,מסמר,,,,
item_240,napkin,word,household,produces,napkin,napkin,מפית,,,,
item_241,paper,word,household,produces,paper,paper,נייר,,,,
item_242,picture,word,household,produces,picture,picture,תמונה,,,,
item_243,pillow,word,household,produces,pillow,pillow,כרית,,,,
item_244,plant,word,household,produces,plant,plant,צמח,,,,
item_245,plate,word,household,produces,plate,plate,צלחת,,,,
item_246,purse,word,household,produces,purse,purse,ארנק,,,,
item_247,radio,word,household,produces,radio,radio,רדיו,,,,
item_248,scissors,word,household,produces,scissors,scissors,מספריים,,,,
item_249,soap,word,household,produces,soap,soap,סבון,,,,
item_250,spoon,word,household,produces,spoon,spoon,כף,,,,
item_251,telephone,word,household,produces,telephone/cellphone*,telephone/cellphone*,טלפון/ סלולרי,,,,
item_252,tissue,word,household,produces,tissue/kleenex,tissue/kleenex,טישיו/ ממחטה,,,,
item_253,toothbrush,word,household,produces,toothbrush,toothbrush,מברשת שיניים,,,,
item_254,towel,word,household,produces,towel,towel,מגבת,,,,
item_255,trash,word,household,produces,trash,trash,אשפה/ זבל/ פח,,,,
item_256,tray,word,household,produces,tray,tray,מגש,,,,
item_257,vacuum,word,household,produces,vacuum,vacuum,שואב אבק,,,,
item_258,teaspoon,word,household,produces,teaspoon,teaspoon,כפית,,,,
item_259,pacifier,word,household,produces,pacifier,pacifier,מוצץ,,,,
item_260,pot,word,household,produces,pot,pot,סיר,,,,
item_261,plant,word,household,produces,plant,plant,עציץ,,,,
item_262,bag,word,household,produces,bag,bag,תיק,,,,
item_263,pan ,word,household,produces,pan ,pan ,מחבת,,,,
item_264,bathroom,word,furniture_rooms,produces,bathroom,bathroom,שירותים/ בית שימוש,,,,
item_265,bathtub,word,furniture_rooms,produces,bathtub,bathtub,אמבטיה,,,,
item_266,bed,word,furniture_rooms,produces,bed,bed,מיטה,,,,
item_267,bedroom,word,furniture_rooms,produces,bedroom,bedroom,חדר שינה,,,,
item_268,bench,word,furniture_rooms,produces,bench,bench,ספסל,,,,
item_269,chair,word,furniture_rooms,produces,chair,chair,כיסא,,,,
item_270,closet,word,furniture_rooms,produces,closet,closet,ארון,,,,
item_271,couch,word,furniture_rooms,produces,couch,couch,כורסה,,,,
item_272,crib,word,furniture_rooms,produces,crib,crib,לול,,,,
item_273,door,word,furniture_rooms,produces,door,door,דלת,,,,
item_274,drawer,word,furniture_rooms,produces,drawer,drawer,מגירה,,,,
item_275,garage,word,furniture_rooms,produces,garage,garage,חניה/ מוסך,,,,
item_276,kitchen,word,furniture_rooms,produces,kitchen,kitchen,מטבח,,,,
item_277,living_room,word,furniture_rooms,produces,living room,living room,סלון,,,,
item_278,oven,word,furniture_rooms,produces,oven,oven,תנור,,,,
item_279,porch,word,furniture_rooms,produces,porch,porch,מרפסת,,,,
item_280,potty,word,furniture_rooms,produces,potty,potty,ישבנון/ סיר,,,,
item_281,refrigerator,word,furniture_rooms,produces,refrigerator,refrigerator,מקרר,,,,
item_282,room,word,furniture_rooms,produces,room,room,חדר ,,,,
item_283,shower,word,furniture_rooms,produces,shower,shower,טוש/ מקלחת,,,,
item_284,sink,word,furniture_rooms,produces,sink,sink,כיור,,,,
item_285,sofa,word,furniture_rooms,produces,sofa,sofa,ספה,,,,
item_286,stairs,word,furniture_rooms,produces,stairs,stairs,מדרגות,,,,
item_287,table,word,furniture_rooms,produces,table,table,שולחן,,,,
item_288,tv,word,furniture_rooms,produces,TV,TV,טלויזיה,,,,
item_289,washing_machine,word,furniture_rooms,produces,washing machine,washing machine,מכונת כביסה,,,,
item_290,window,word,furniture_rooms,produces,window,window,חלון,,,,
item_291,curtain,word,furniture_rooms,produces,curtain,curtain,וילון,,,,
item_292,map,word,furniture_rooms,produces,map,map,מפה,,,,
item_293,rug,word,furniture_rooms,produces,rug,rug,שטיח,,,,
item_294,shutter,word,furniture_rooms,produces,shutter,shutter,תריס,,,,
item_295,backyard,word,outside,produces,backyard,backyard,חצר,,,,
item_296,cloud,word,outside,produces,cloud,cloud,ענן/ עננים,,,,
item_297,flag,word,outside,produces,flag,flag,דגל,,,,
item_298,flower,word,outside,produces,flower,flower,פרח,,,,
item_299,garden,word,outside,produces,garden,garden,גינה/ פארק,,,,
item_300,grass,word,outside,produces,grass,grass,דשא,,,,
item_301,hose,word,outside,produces,hose,hose,צינור,,,,
item_302,ladder,word,outside,produces,ladder,ladder,סולם,,,,
item_303,moon,word,outside,produces,moon,moon,ירח,,,,
item_304,pool,word,outside,produces,pool,pool,בריכה,,,,
item_305,rain,word,outside,produces,rain,rain,גשם,,,,
item_306,rock,word,outside,produces,rock,rock,אבן,,,,
item_307,roof,word,outside,produces,roof,roof,גג,,,,
item_308,shovel,word,outside,produces,shovel,shovel,את/ מעדר,,,,
item_309,sidewalk,word,outside,produces,sidewalk,sidewalk,מדרכה,,,,
item_310,sky,word,outside,produces,sky,sky,שמיים,,,,
item_311,slide.object,word,outside,produces,slide (object),slide (object),מגלשה,,,,
item_312,sprinkler,word,outside,produces,sprinkler,sprinkler,ממטרה,,,,
item_313,star,word,outside,produces,star,star,כוכב/ כוכבים,,,,
item_314,stick,word,outside,produces,stick,stick,מקל,,,,
item_315,street,word,outside,produces,street,street,רחוב,,,,
item_316,sun,word,outside,produces,sun,sun,שמש,,,,
item_317,swing.object,word,outside,produces,swing (object),swing (object),נדנדה,,,,
item_318,tree,word,outside,produces,tree,tree,עץ,,,,
item_319,wind,word,outside,produces,wind,wind,רוח,,,,
item_320,land,word,outside,produces,land,land,אדמה,,,,
item_321,sand_box,word,outside,produces,sand box,sand box,ארגז חול,,,,
item_322,backyard ,word,outside,produces,backyard ,backyard ,חצר ,,,,
item_323,beach,word,places,produces,beach,beach,ים/ חוף ים,,,,
item_324,synagogue,word,places,produces,synagogue,synagogue,בית כנסת,,,,
item_325,farm,word,places,produces,farm,farm,רפת,,,,
item_326,gas_station,word,places,produces,gas station,gas station,תחנת דלק,,,,
item_327,home,word,places,produces,home,home,בית/ הביתה,,,,
item_328,movie,word,places,produces,movie,movie,סרט,,,,
item_329,party,word,places,produces,party,party,מסיבה,,,,
item_330,picnic,word,places,produces,picnic,picnic,פיקניק,,,,
item_331,playground,word,places,produces,playground,playground,גן שעשועים/ מגרש משחקים,,,,
item_332,school,word,places,produces,school,school,גן (משפחתון/ פעוטון/ מעון/ גנון),,,,
item_333,store,word,places,produces,store,store,חנות,,,,
item_334,woods,word,places,produces,woods,woods,חורשה,,,,
item_335,work.place,word,places,produces,work (place),work (place),עבודה,,,,
item_336,zoo,word,places,produces,zoo,zoo,גן חיות,,,,
item_337,mountain,word,places,produces,mountain,mountain,הר,,,,
item_338,supermarket,word,places,produces,supermarket,supermarket,סופרמרקט/ סופר/ מכולת,,,,
item_339,bus_stop,word,places,produces,bus stop,bus stop,תחנת אוטובוס,,,,
item_340,tap,word,places,produces,tap,tap,ברז ,,,,
item_341,road,word,places,produces,road,road,כביש,,,,
item_342,aunt,word,people,produces,aunt,aunt,דוד/ דודה,,,,
item_343,baby,word,people,produces,baby,baby,תינוק/ תינוקת,,,,
item_344,babysitter,word,people,produces,babysitter,babysitter,שמרטף/ בייביסיטר,,,,
item_345,caregiver,word,people,produces,caregiver,caregiver,מטפלת,,,,
item_346,boy,word,people,produces,boy,boy,ילד/ ילדה,,,,
item_347,brother,word,people,produces,brother,brother,אח/ אחות,,,,
item_348,daddy,word,people,produces,daddy*,daddy*,אבא,,,,
item_349,doctor,word,people,produces,doctor,doctor,רופא,,,,
item_350,fireman,word,people,produces,fireman,fireman,כבאי,,,,
item_351,friend,word,people,produces,friend,friend,חבר/ חברה,,,,
item_352,grandma,word,people,produces,grandma*,grandma*,סבתא,,,,
item_353,grandpa,word,people,produces,grandpa*,grandpa*,סבא,,,,
item_354,neighbor,word,people,produces,neighbor,neighbor,שכן/ שכנה,,,,
item_355,mailman,word,people,produces,mailman,mailman,דוור,,,,
item_356,man,word,people,produces,man,man,איש/ אישה/ אנשים,,,,
item_357,mommy,word,people,produces,mommy*,mommy*,אימא,,,,
item_358,child_own_name,word,people,produces,child's own name,child's own name,השם של הילד,,,,
item_359,police,word,people,produces,police,police,שוטר,,,,
item_360,teacher,word,people,produces,teacher,teacher,גננת/ מורה,,,,
item_361,bath,word,games_routines,produces,bath,bath,לעשות אמבטיה,,,,
item_362,bye,word,games_routines,produces,bye,bye,ביי/ להתראות,,,,
item_363,call,word,games_routines,produces,call (on phone),call (on phone),לדבר בטלפון,,,,
item_364,give_me_five,word,games_routines,produces,give me five!,give me five!,כיף/ תן כפה,,,,
item_365,go_potty,word,games_routines,produces,go potty,go potty,לעשות פיפי בסיר,,,,
item_366,hello,word,games_routines,produces,hello,hello,היי/ שלום/ אהלן,,,,
item_367,nap,word,games_routines,produces,nap,nap,ללכת לישון,,,,
item_368,nightnight,word,games_routines,produces,night night,night night,לילה טוב,,,,
item_369,no,word,games_routines,produces,no,no,לא,,,,
item_370,pattycake,word,games_routines,produces,pattycake,pattycake,עשר אצבעות לי יש,,,,
item_371,peekaboo,word,games_routines,produces,peekaboo,peekaboo,"לשחק ב""קוקו""",,,,
item_372,please,word,games_routines,produces,please,please,בבקשה,,,,
item_373,give_me ,word,games_routines,produces,give me ,give me ,תן לי,,,,
item_374,thank_you,word,games_routines,produces,thank you,thank you,תודה,,,,
item_375,yes,word,games_routines,produces,yes,yes,כן,,,,
item_376,nothing,word,games_routines,produces,nothing,nothing,אין,,,,
item_377,allowed,word,games_routines,produces,allowed,allowed,אפשר/ מותר,,,,
item_378,It hurts,word,games_routines,produces,It hurts,It hurts,כואב לי/ כואב לך,,,,
item_379,angry,word,games_routines,produces,angry,angry,כועס,,,,
item_380,go_to_eat,word,games_routines,produces,go to eat,go to eat,ללכת לאכול,,,,
item_381,go_for_walk,word,games_routines,produces,go for a walk,go for a walk,ללכת לטייל,,,,
item_382,pretend,word,games_routines,produces,pretend,pretend,לעשות כאילו,,,,
item_383,more,word,games_routines,produces,more,more,עוד,,,,
item_384,must,word,games_routines,produces,must,must,צריך,,,,
item_385,goodmorning,word,games_routines,produces,good morning,good morning,בוקר טוב,,,,
item_386,can,word,games_routines,produces,can,can,יכול,,,,
item_387,stopit,word,games_routines,produces,stop it,stop it,די ,,,,
item_388,clap_hands,word,games_routines,produces,clap hands,clap hands,מחא כפיים,,,,
item_389,play_catch,word,games_routines,produces,play catch,play catch,לשחק תופסת,,,,
item_390,bite,word,action_words,produces,bite,bite,לנשוך,,,,
item_391,blow,word,action_words,produces,blow,blow,לנשוף,,,,
item_392,break,word,action_words,produces,break,break,לשבור,,,,
item_393,bring,word,action_words,produces,bring,bring,להביא,,,,
item_394,build,word,action_words,produces,build,build,לבנות,,,,
item_395,buy,word,action_words,produces,buy,buy,לקנות,,,,
item_396,catch,word,action_words,produces,catch,catch,לתפוס,,,,
item_397,chase,word,action_words,produces,chase,chase,לרדוף ,,,,
item_398,clean.action,word,action_words,produces,clean (action),clean (action),לנקות,,,,
item_399,climb,word,action_words,produces,climb,climb,לטפס,,,,
item_400,close,word,action_words,produces,close,close,לסגור,,,,
item_401,cover,word,action_words,produces,cover,cover,לכסות,,,,
item_402,cry,word,action_words,produces,cry,cry,לבכות,,,,
item_403,cut,word,action_words,produces,cut,cut,לגזור,,,,
